ats.aq	Anguilla
tert.am	United States of America
aad.gov.au	Australia
flixco.info	Australia
stateheritage.wa.gov.au	Australia
centcoast.tas.gov.au	Australia
ac.gov.br	Brazil
free.fr	France
nsi.bg	Bulgaria
passc.net	United States of America
fourseasons.com	United States of America
heritagecentre.ca	United States of America
villageoflougheed.com	United States of America
winnipegfreepress.com	United States of America
stats.gov.cn	China
inmediahk.net	United States of America
rozna.cz	Czech Republic
statistikbanken.dk	Denmark
insula-moenia.dk	Denmark
elsalvador.com	United States of America
opera.ee	Estonia
maanmittauslaitos.fi	Finland
unesco.org	France
culture.gouv.fr	France
google.com	United States of America
geoportail.gouv.fr	France
insee.fr	France
webcitation.org	United States of America
ehess.fr	France
mairie-breuil-le-vert.fr	France
bouchard-pereetfils.com	France
kreisbote.de	Germany
d-nb.info	Germany
rpb-rlp.de	Germany
naturschutzinformationen-nrw.de	Germany
stadt-koeln.de	Germany
klosterhotel-woeltingerode.de	Germany
lagis-hessen.de	Germany
statistik-nord.de	Germany
rlp.de	Germany
youtube.com	United States of America
lutheran.hu	Hungary
budapestbylocals.com	United States of America
allahabad.nic.in	India
mbcet.ac.in	United Kingdom
google.co.in	United States of America
indiarailinfo.com	United States of America
nrsc.gov.in	India
waspada.co.id	Indonesia
sslagoss.org	United States of America
istat.it	Italy
osservatoriobalcani.org	United Kingdom
visitjordan.com	United States of America
yandex.ru	Russia
4en5mei.nl	Netherlands
dsm.com	Netherlands
kulturminnesok.no	Norway
bygdeposten.no	Norway
nscb.gov.ph	Philippines
www.gov.ph	Hong Kong
geoportal.gov.pl	Poland
muszyna.pl	Poland
stat.gov.pl	Poland
sztetl.org.pl	Poland
aljazeera.net	United States of America
lege-online.ro	Romania
mom.ru	Russia
mosclassific.ru	Russia
mr-savino.ru	Russia
google.ge	United States of America
e-obce.sk	Slovakia
euskaltzaindia.net	France
ine.es	Spain
gva.es	Spain
mengamunoz.es	Spain
mcu.es	Spain
google.ca	United States of America
aracena.es	Spain
smhi.se	Sweden
lansstyrelsen.se	Sweden
runeberg.org	Sweden
massongex.ch	Switzerland
admin.ch	Switzerland
trtc.com.tw	Taiwan
openstreetmap.org	United Kingdom
statistics.gov.uk	United Kingdom
arun.gov.uk	United Kingdom
wiltshiremuseum.org.uk	United Kingdom
archive.org	United States of America
croydon.gov.uk	Ireland
freeuk.com	United Kingdom
visitcumbria.com	United Kingdom
bbc.co.uk	United Kingdom
norfolk.gov.uk	United Kingdom
scotrail.co.uk	United States of America
doi.org	United States of America
npor.org.uk	United Kingdom
nationaltrust.org.uk	United Kingdom
lvivcenter.org	Germany
weather.in.ua	Ukraine
africancrisis.co.za	United States of America
ine.gub.uy	Uruguay
usgs.gov	United States of America
state.or.us	United States of America
census.gov	United States of America
az.gov	United States of America
naco.org	United States of America
floridaleagueofcities.com	United States of America
prudhoebay.com	United States of America
belknapcounty.org	United States of America
lufkinfirst.com	United States of America
lazeta.fm	United States of America
azcentral.com	United States of America
townofeastonnh.org	United States of America
mta.info	United States of America
cuny.edu	United States of America
fcc.gov	United States of America
maryland.gov	United States of America
nps.gov	United States of America
washington.edu	United States of America
thomas.edu	United States of America
hooksairport.com	United States of America
nwsource.com	United States of America
hollywoodreporter.com	United States of America
eagleridgeacademy.org	United States of America
detroitzoo.org	United States of America
wvculture.org	United States of America
southwest.com	United States of America
njmonthly.com	United Kingdom
eoearth.org	United States of America
twitter.com	United States of America
businessweek.com	United States of America
nga.mil	United States of America
abet.org	United States of America
weather.com	United States of America
arwg-gibe.org	United States of America
nytimes.com	United States of America
uiuc.edu	United States of America
fearrington.com	United States of America
utsandiego.com	United States of America
blogspot.com	United States of America
staradvertiser.com	United States of America
shilad.com	United States of America
